epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,0.0799,0.9201,0.0774,0.9226,0.0994,0.9006
2,0.0733,0.9267,0.0765,0.9235,0.0993,0.9007
3,0.0707,0.9293,0.0732,0.9268,0.0983,0.9017
4,0.0686,0.9314,0.0719,0.9281,0.1004,0.8996
5,0.0676,0.9324,0.0717,0.9283,0.0974,0.9026
6,0.0658,0.9342,0.0707,0.9293,0.0982,0.9018
7,0.065,0.935,0.0693,0.9307,0.0983,0.9017
8,0.0642,0.9358,0.0698,0.9302,0.0977,0.9023
9,0.0633,0.9367,0.0673,0.9327,0.102,0.898
10,0.063,0.937,0.0689,0.9311,0.1004,0.8996
11,0.062,0.938,0.0667,0.9333,0.0991,0.9009
12,0.0613,0.9387,0.067,0.933,0.1029,0.8971
13,0.0604,0.9396,0.0669,0.9331,0.1031,0.8969
