epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,9669.1896,0.9058,0.0817,0.9183,0.0761,0.9239
2,8390.7419,0.9175,0.0769,0.9231,0.0738,0.9262
3,7849.3218,0.922,0.0748,0.9252,0.0719,0.9281
4,7550.1613,0.9246,0.0731,0.9269,0.0708,0.9292
5,7307.3063,0.9264,0.0717,0.9283,0.0712,0.9288
6,7127.3548,0.9283,0.0702,0.9298,0.0712,0.9288
7,7036.5042,0.9296,0.0693,0.9307,0.0715,0.9285
8,6853.4277,0.9304,0.0691,0.9309,0.0746,0.9254
9,6699.6896,0.9318,0.067,0.933,0.0722,0.9278
10,6637.5092,0.9324,0.0656,0.9344,0.0715,0.9285
11,6528.2548,0.934,0.0665,0.9335,0.0729,0.9271
12,6495.6386,0.9342,0.0657,0.9343,0.0752,0.9248
