epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,0.4723,0.5277,0.1997,0.8003,0.1819,0.8181
2,0.1925,0.8075,0.195,0.805,0.3204,0.6796
3,0.1642,0.8358,0.1541,0.8459,0.2198,0.7802
4,0.1445,0.8555,0.1401,0.8599,0.1219,0.8781
5,0.1345,0.8655,0.1209,0.8791,0.144,0.856
6,0.1252,0.8748,0.1168,0.8832,0.1607,0.8393
7,0.1171,0.8829,0.1187,0.8813,0.1364,0.8636
8,0.1109,0.8891,0.1021,0.8979,0.1351,0.8649
9,0.1046,0.8954,0.0957,0.9043,0.1277,0.8723
