epoch,Train Loss,Train dice0,Val Loss,Val dice0
1,0.9497,0.0503,0.9375,0.0625
2,0.8765,0.1235,0.8325,0.1675
3,0.8011,0.1989,0.801,0.199
4,0.7563,0.2437,0.7315,0.2685
5,0.7264,0.2736,0.7296,0.2704
6,0.707,0.293,0.7118,0.2882
7,0.6831,0.3169,0.6804,0.3196
