epoch,Train Loss,Train dice0,Train dice1,Val Loss,Val dice0,Val dice1
1,0.8379,0.1795,0.1533,0.5501,0.6483,0.3475
2,0.5386,0.5804,0.3951,0.3589,0.8314,0.4891
3,0.3611,0.7844,0.5474,0.2629,0.889,0.6049
4,0.2944,0.8396,0.6213,0.2353,0.9017,0.6498
5,0.26,0.8691,0.6586,0.224,0.9102,0.6607
6,0.2545,0.8731,0.6653,0.2275,0.909,0.6555
7,0.2511,0.8763,0.6688,0.2234,0.9091,0.6668
8,0.2477,0.8786,0.673,0.2199,0.9142,0.6656
9,0.2448,0.8806,0.6766,0.2123,0.9158,0.6766
10,0.2411,0.8832,0.6808,0.2138,0.917,0.6733
11,0.2403,0.8839,0.6817,0.2164,0.9158,0.6691
12,0.2398,0.8847,0.6822,0.2117,0.9183,0.6756
13,0.2397,0.8844,0.6826,0.2112,0.9179,0.6794
14,0.2393,0.8848,0.6828,0.2124,0.9182,0.6761
15,0.2387,0.8852,0.6835,0.2098,0.9188,0.6801
16,0.2385,0.8856,0.6838,0.2151,0.9154,0.6742
17,0.2385,0.8857,0.6837,0.211,0.9176,0.68
18,0.2385,0.8857,0.6837,0.2082,0.9199,0.6822
19,0.2383,0.8858,0.6838,0.2114,0.9178,0.6795
20,0.2386,0.8856,0.6837,0.2087,0.9192,0.6821
21,0.238,0.8862,0.684,0.2093,0.9192,0.6817
22,0.2384,0.8857,0.6839,0.2106,0.9188,0.6795
23,0.2384,0.8853,0.6841,0.2196,0.9126,0.6684
