epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,0.4259,0.5741,0.2074,0.7926,0.2024,0.7976
2,0.1801,0.8199,0.1723,0.8277,0.1825,0.8175
3,0.1649,0.8351,0.1575,0.8425,0.1531,0.8469
4,0.1526,0.8474,0.1497,0.8503,0.1578,0.8422
5,0.1521,0.8479,0.1503,0.8497,0.1573,0.8427
6,0.1504,0.8496,0.1511,0.8489,0.154,0.846
