epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,9157.3894,0.7206,0.2715,0.7285,0.2802,0.7198
2,7723.1554,0.7495,0.2359,0.7641,0.2503,0.7497
3,7562.8578,0.7553,0.2396,0.7604,0.2671,0.7329
4,7414.0002,0.7559,0.2372,0.7628,0.2667,0.7333
