epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,22339.4657,0.7925,0.1907,0.8093,0.1647,0.8353
2,19280.3472,0.8171,0.1838,0.8162,0.1531,0.8469
3,18966.4178,0.8197,0.182,0.818,0.1523,0.8477
4,18951.4869,0.8199,0.1803,0.8197,0.1521,0.8479
5,18678.0296,0.8219,0.1781,0.8219,0.1519,0.8481
6,18889.6309,0.8227,0.1822,0.8178,0.1519,0.8481
7,18495.6072,0.8222,0.1825,0.8175,0.1519,0.8481
